Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
124,Chinatown,40.71561842231432,-73.99427936255978,Shanghai Asian Cuisine • 上海小館,4abac118f964a520cb8220e3,40.7159178087348,-73.99731143865941,Shanghai Restaurant,8.4
125,Chinatown,40.71561842231432,-73.99427936255978,Cafe Grumpy,4df7603c7d8b5f396ac5cfd5,40.71506878269568,-73.98995222774947,Coffee Shop,8.6
126,Washington Heights,40.851902525553044,-73.93690027985234,Green Juice Cafe,5547b2fb498e5a61fb5c80de,40.85189793238417,-73.93482699423339,Café,8.8
127,Washington Heights,40.851902525553044,-73.93690027985234,The Uptown Garrison,59f76cd528374e40d82f761b,40.85125539385439,-73.93947295544034,Restaurant,8.3
128,Washington Heights,40.851902525553044,-73.93690027985234,Highest Natural Point In Manhattan,4bd341d79854d13a834ffd4d,40.85284300448839,-73.93764973534918,Park,8.6
129,Washington Heights,40.851902525553044,-73.93690027985234,Saggio Restaurant,4d21107c6e8c37042b58ff9f,40.85142251681508,-73.93976122140884,Italian Restaurant,8.7
130,Washington Heights,40.851902525553044,-73.93690027985234,Le Chéile,4e77e40118387f865961f673,40.851459036018426,-73.93998920917511,Café,8.1
131,Washington Heights,40.851902525553044,-73.93690027985234,Qmart,561c5c88498ee62a4dc1bc3c,40.851999159435756,-73.93491489398066,Market,8.5
132,Washington Heights,40.851902525553044,-73.93690027985234,Burger Heights,53a4688f498e92f6ece47c9f,40.85026807331502,-73.93461812752481,Burger Joint,8.0
133,Washington Heights,40.851902525553044,-73.93690027985234,Forever Coffee Bar,5bafd8419de23b002c772a72,40.850432533927176,-73.93660674414312,Coffee Shop,8.0
134,Washington Heights,40.851902525553044,-73.93690027985234,Tampopo Ramen,55d65695498ed8dc09c5b010,40.85069287922828,-73.93656823814172,Ramen Restaurant,7.9
135,Washington Heights,40.851902525553044,-73.93690027985234,Jin's Superette,4a458c8ef964a52051a81fe3,40.85098865024419,-73.93851430188998,Deli / Bodega,7.8
136,Washington Heights,40.851902525553044,-73.93690027985234,181st St Bakery & Deli,4a5b2d43f964a520eaba1fe3,40.85101361568652,-73.93859158137181,Bakery,8.1
137,Washington Heights,40.851902525553044,-73.93690027985234,Café Bark,5bafc50b9f8a9f0039c49dd3,40.851353,-73.93989599999999,Pet Café,7.9
138,Washington Heights,40.851902525553044,-73.93690027985234,Cabrini Wines,4a626b90f964a52008c41fe3,40.851292188704186,-73.93971626183753,Wine Shop,7.6
139,Washington Heights,40.851902525553044,-73.93690027985234,Bennett Wines & Liquor,4e07c4c92271dfa46bb191ac,40.850455754625905,-73.93676854425944,Liquor Store,7.6
140,Washington Heights,40.851902525553044,-73.93690027985234,Hudson View Restaurant,4a1a4dcbf964a520927a1fe3,40.85088843208624,-73.93823069541277,Breakfast Spot,7.6
141,Washington Heights,40.851902525553044,-73.93690027985234,Bennett Park,4a5924a7f964a520ccb81fe3,40.85296731395129,-73.93787361453009,Park,8.6
142,Washington Heights,40.851902525553044,-73.93690027985234,The Pandering Pig,56e213e1498e8b403c8bb16a,40.855226197706585,-73.93779261979789,American Restaurant,8.5
143,Washington Heights,40.851902525553044,-73.93690027985234,Vines on Pine,4b9ae9c5f964a52071e235e3,40.855277747978796,-73.93767127156606,Wine Shop,7.5
144,Washington Heights,40.851902525553044,-73.93690027985234,Altus Cafe,556faea8498e40d5a03fedce,40.85227048549662,-73.93468709744222,Cocktail Bar,8.0
145,Washington Heights,40.851902525553044,-73.93690027985234,Highbridge Park Pool,4bf22c1499d02d7f2efac948,40.84911020146309,-73.93683928010928,Pool,7.5
146,Washington Heights,40.851902525553044,-73.93690027985234,Yo Sweets,53caaede498e6db96d6a204f,40.850831318516285,-73.9378569165125,Frozen Yogurt Shop,8.6
147,Washington Heights,40.851902525553044,-73.93690027985234,Chittenden Overlook,4ba2ec2df964a520cc2238e3,40.855029705366675,-73.93936157226562,Scenic Lookout,not rated
148,Washington Heights,40.851902525553044,-73.93690027985234,Las Tapas,54405a3e498e5d4a84ee266c,40.85523384393846,-73.93728400575858,Tapas Restaurant,8.3
149,Washington Heights,40.851902525553044,-73.93690027985234,Fresco's Pizzeria,5503762d498e150bef780584,40.85520157236451,-73.93721648678681,Pizza Place,8.2
150,Washington Heights,40.851902525553044,-73.93690027985234,181 Cabrini,49f925bdf964a520656d1fe3,40.851251236650356,-73.9403428959984,New American Restaurant,7.8
